eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
149.6,2.0,2435,0.0036244346,0.037078857,2.7044747,-0.0020059987,0.21195066,0.48200276,0.2811175584793091,1,256,13.453562343493104,32768
288.83,3.2,3623,0.0025021231,0.016886393,2.6963565,-0.0014595734,0.20412855,0.4651033,0.2785799503326416,2,512,22.681270320899785,65536
293.56,4.0,3522,0.004204771,0.047424316,2.6733549,-0.0010172362,0.38015088,0.81580347,0.2357720136642456,3,768,31.98364888690412,98304
197.1,4.4,3636,0.0036905098,0.04280599,2.6633458,0.00021057013,0.5799124,1.2126704,0.24311351776123047,4,1024,40.99560484662652,131072
131.91,4.9,3684,0.0047691176,0.0574646,2.649165,-0.00049369666,0.633881,1.3217325,0.2488686442375183,5,1280,49.88873310480267,163840
127.6,4.8,3421,0.0052077407,0.05814616,2.6449935,-0.0009995609,0.723794,1.5024872,0.28697383403778076,6,1536,59.57432117220014,196608
132.19,4.9,3597,0.005023602,0.058217365,2.639144,-0.0010180766,0.66298515,1.3807893,0.32830607891082764,7,1792,68.68442208506167,229376
126.33,4.0,3572,0.0070869667,0.080190025,2.610153,-0.00012870273,0.6047334,1.261927,0.38542354106903076,8,2048,77.85673286113888,262144
97.42,4.8,3367,0.007098163,0.07397461,2.6140268,-0.0005106851,0.6678311,1.3889638,0.41487932205200195,9,2304,87.5870014950633,294912
106.14,4.1,3667,0.0068370863,0.06608073,2.6240208,-0.00016445149,0.55973047,1.1722699,0.46425414085388184,10,2560,96.52188422810286,327680
123.31,4.7,3327,0.007867894,0.0741984,2.6191728,-0.0021515447,0.4701842,0.9970549,0.5258806347846985,11,2816,106.40829008910805,360448
109.78,4.6,3413,0.008348409,0.07610067,2.6022089,-0.0016032251,0.46102598,0.97730255,0.567865788936615,12,3072,116.00933915749192,393216
89.04,4.1,3645,0.008942142,0.07850138,2.5695088,-0.00012488612,0.5262916,1.1042233,0.6188664138317108,13,3328,124.9996727053076,425984
104.22,4.2,3265,0.010154947,0.08768717,2.5674107,-0.0016925001,0.44297674,0.9406867,0.673560380935669,14,3584,135.0339622637257,458752
96.72,4.0,3620,0.01167786,0.09035238,2.5414982,-0.0012134918,0.47687647,1.00701,0.6989877223968506,15,3840,144.0845710588619,491520
