eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
78.28,0.66,2353,5.5138633e-05,0.0,2.7079976,-0.00019812793,0.24605374,0.5466637,0.0036892294883728027,1,256,13.924746053293347,32768
86.08,1.06,3689,0.00011330461,0.0,2.7076082,-0.00035332414,0.05365854,0.16217591,0.0025243759155273438,2,512,23.01342424377799,65536
74.43,0.73,3972,0.00045874575,0.0,2.7059987,-0.0005192692,0.038492464,0.13214345,0.01811736822128296,3,768,31.26234200131148,98304
83.07,0.86,3609,0.0017385328,0.00036621094,2.6998644,-0.00093231886,0.05613203,0.16812597,0.024896860122680664,4,1024,40.34179654344916,131072
83.62,0.94,3631,0.0033686906,0.017384848,2.6855304,-0.0012206248,0.042101864,0.14035559,0.05097031593322754,5,1280,49.36582206841558,163840
85.78,1.5,4004,0.0029218302,0.026845297,2.6701736,-0.0005657243,0.062434357,0.1794036,0.06652456521987915,6,1536,57.58986971154809,196608
84.55,1.15,3633,0.0039818333,0.039418537,2.6561303,-0.00042363055,0.056430105,0.16683006,0.11184066534042358,7,1792,66.61042993701994,229376
87.99,1.25,4053,0.00465633,0.047658283,2.6426704,-0.0006862819,0.05118761,0.1566012,0.14924359321594238,8,2048,74.69424483459443,262144
87.96,1.1,3651,0.00392281,0.037953693,2.6523287,0.00019087736,0.054420173,0.16150516,0.19773650169372559,9,2304,83.6683134092018,294912
83.33,1.3,3975,0.0043572304,0.04598999,2.6328979,-4.1163654e-05,0.050890077,0.15452044,0.24053239822387695,10,2560,91.91049868427217,327680
81.86,1.17,3671,0.0042967224,0.045084637,2.6343777,-0.00039108132,0.05284886,0.15916744,0.2390059232711792,11,2816,100.8919950760901,360448
89.4,1.37,4027,0.005722655,0.057108562,2.616814,2.3163875e-05,0.058423374,0.16913669,0.27029895782470703,12,3072,109.02978139836341,393216
92.21,1.38,3647,0.005285641,0.057444256,2.6117387,-0.0005344348,0.056201994,0.16570763,0.26911771297454834,13,3328,118.0151217021048,425984
84.54,1.45,4044,0.005492157,0.057322185,2.608112,0.00045028757,0.06436704,0.17999573,0.2797120213508606,14,3584,126.11821803171188,458752
95.15,1.55,3684,0.0059490767,0.061014812,2.6007907,-0.0002771472,0.056355197,0.16528052,0.2978154420852661,15,3840,135.01309504173696,491520
83.74,1.28,3980,0.0054659783,0.060109455,2.6070197,-0.0010982456,0.05802994,0.17039679,0.31404632329940796,16,4096,143.2842120025307,524288
92.57,1.57,3382,0.0072357897,0.07726034,2.5699065,0.00048142966,0.064268984,0.17897324,0.3580421805381775,17,4352,152.97155103553087,557056
87.81,1.54,3580,0.008339447,0.09509277,2.554168,-0.0006726132,0.058368698,0.16916597,0.32161325216293335,18,4608,162.12445470876992,589824
96.17,1.72,3946,0.00828229,0.093688965,2.5561273,0.0010463144,0.079826035,0.20868202,0.31643855571746826,19,4864,170.42869621701539,622592
