eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
138.02941176470588,3.8235295,1982,0.00017966721,0.0,2.707874,-0.00029119698,0.07832774,0.21139534,-0.047638654708862305,1,256,16.529410004615784,32768
248.84146341463415,4.1463413,2962,0.00048368913,0.0002644857,2.7066603,-0.0013597504,0.111620516,0.28009373,0.07578033208847046,2,512,27.797226167283952,65536
394.37,5.0,3296,0.0018726125,0.0074768066,2.698002,-0.0015880187,0.19607683,0.44928968,0.1790064573287964,3,768,37.73695440404117,98304
489.79,4.1,3065,0.0052184444,0.041229248,2.6793325,-0.0049876594,0.21676113,0.49708423,0.26645350456237793,4,1024,48.42775930836797,131072
248.75,4.4,3296,0.0056131296,0.040496826,2.6494596,-0.0034472374,0.36124685,0.78237724,0.3267061114311218,5,1280,58.3695959020406,163840
191.28,4.2,2995,0.0034485876,0.024068197,2.6247604,-0.002659235,0.38112292,0.8200595,0.4059382677078247,6,1536,69.34974389150739,196608
148.1,4.2,3306,0.003900545,0.028747559,2.5930238,-0.0028547442,0.43123624,0.92004246,0.45550769567489624,7,1792,79.25934011861682,229376
115.88,5.0,3059,0.004687212,0.04604085,2.5686963,-0.0011315226,0.5753772,1.2043914,0.5079365074634552,8,2048,89.97025178559124,262144
96.22,4.8,3284,0.0047605815,0.037648518,2.5104423,-0.0026215538,0.5707134,1.1968788,0.5976461172103882,9,2304,99.94884757790715,294912
88.69,5.9,3061,0.0060632494,0.043823242,2.4469483,-0.0027138926,0.6224242,1.2992152,0.6401354074478149,10,2560,110.6522946851328,327680
70.68,4.7,3390,0.0035767294,0.023335775,2.4120605,-0.0007354045,0.65923446,1.3681811,0.6630135476589203,11,2816,120.36114616505802,360448
71.47,5.8,3275,0.0045301537,0.03245036,2.3607466,-0.0017471239,0.7286475,1.5080041,0.689831018447876,12,3072,130.36607513669878,393216
