eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.78,1.02,2678,0.00035900009,0.0,2.7077236,-0.0006067179,0.2672087,0.5897853,-0.003122687339782715,1,256,12.231564828194678,32768
77.54,1.02,4120,0.00014799394,0.0,2.7067645,-0.00036966227,0.060522348,0.17591931,0.0003593564033508301,2,512,20.363639858551323,65536
79.43,0.95,4021,0.0006341719,0.00015258789,2.7033386,-0.0008837413,0.051003236,0.15784074,0.09484720230102539,3,768,28.512573268264532,98304
78.99,0.78,4116,0.00266958,0.0064697266,2.6896086,-0.0016095075,0.056464985,0.16994119,0.07585388422012329,4,1024,36.473765559494495,131072
83.45,0.76,3877,0.0032591866,0.011413574,2.6670425,-0.0016752834,0.04062378,0.13793899,0.12112736701965332,5,1280,44.9260493144393,163840
93.66,1.46,4116,0.0020657051,0.0071512857,2.6433284,-0.0016112226,0.06859332,0.19327565,0.12081247568130493,6,1536,52.93054335191846,196608
87.86,1.35,4079,0.004321151,0.016815186,2.6087074,-0.0025349874,0.054311406,0.16586694,0.14796817302703857,7,1792,60.96323496289551,229376
88.85,1.56,3775,0.003671292,0.016184488,2.5761588,-0.002429645,0.06328694,0.18295634,0.18763184547424316,8,2048,69.64198210742325,262144
83.23,1.25,4108,0.002257074,0.008565267,2.5625215,-0.0022416115,0.058115568,0.17196476,0.17628037929534912,9,2304,77.61774775758386,294912
89.31,1.34,4072,0.0039868187,0.030619303,2.5529015,-0.0033378399,0.055923745,0.16958122,0.18615198135375977,10,2560,85.66435583122075,327680
90.36,1.47,3961,0.003883604,0.024271647,2.5345535,-0.0034241173,0.070126064,0.19779141,0.2058125138282776,11,2816,93.97728367801756,360448
88.87,1.39,3748,0.0037737156,0.024892172,2.5169504,-0.003665558,0.05960075,0.17687161,0.24312669038772583,12,3072,102.72051972337067,393216
98.27,1.79,4171,0.0041704723,0.031626385,2.5406034,-0.0035097161,0.07258082,0.20299315,0.25611382722854614,13,3328,110.57649027742445,425984
96.25,1.75,3752,0.0032679364,0.028717041,2.5259483,-0.0039812173,0.06385552,0.18619245,0.2832460403442383,14,3584,119.30962743144482,458752
87.09,1.46,3456,0.0035208266,0.02738444,2.5031483,-0.004136379,0.06330752,0.18495072,0.30444830656051636,15,3840,128.7899224134162,491520
92.72,1.9,3402,0.005275916,0.043863934,2.4982936,-0.0050774603,0.067935385,0.19599153,0.30242425203323364,16,4096,138.47174425888807,524288
96.76,1.59,3416,0.004361671,0.031840008,2.5135653,-0.0042679682,0.068429634,0.19566649,0.3031346797943115,17,4352,148.06356790009886,557056
91.28,1.73,3738,0.004509083,0.03744507,2.507545,-0.0050351173,0.060794786,0.18181072,0.291462242603302,18,4608,156.82882598415017,589824
87.97,1.65,3459,0.0043565026,0.035095215,2.5165176,-0.004507173,0.08016874,0.2196822,0.2810080051422119,19,4864,166.3028448279947,622592
97.75,1.84,3403,0.003954575,0.030344645,2.492427,-0.005582355,0.06377596,0.18856518,0.303028404712677,20,5120,175.93239889200777,655360
97.24,2.11,3445,0.0050914367,0.044596355,2.4566123,-0.0060668304,0.07592819,0.2131223,0.3263343572616577,21,5376,185.4869854459539,688128
96.92,1.77,3436,0.004935717,0.051381428,2.4770072,-0.0055571175,0.06467379,0.19000196,0.3345603942871094,22,5632,195.02377282083035,720896
99.06,1.76,3456,0.0051515256,0.051483154,2.486051,-0.005708882,0.06346656,0.18807189,0.3266810178756714,23,5888,204.50525024347007,753664
92.87,2.18,3408,0.0044704475,0.043548584,2.4675815,-0.0060307845,0.07956846,0.2205501,0.35923850536346436,24,6144,214.11873437743634,786432
95.99,2.39,3422,0.0047948533,0.05061849,2.47868,-0.0063370764,0.08582687,0.23390146,0.34896600246429443,25,6400,223.69502463936806,819200
102.28,2.28,3444,0.0044828737,0.04417928,2.4560611,-0.004508136,0.08494603,0.2280296,0.369293749332428,26,6656,233.2661825278774,851968
106.61,2.99,3442,0.005031317,0.054087322,2.429955,-0.0069714375,0.09976265,0.26206726,0.3674473166465759,27,6912,242.78615611605346,884736
