eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
78.86,0.75,2072,0.0007767162,0.0,2.707239,-0.0007203312,0.2523364,0.5602583,-0.0029163360595703125,1,256,15.80826923623681,32768
80.93,0.9,2677,0.0025085749,0.00902303,2.7004497,-0.0015042316,0.046661068,0.15033959,0.03536909818649292,2,512,28.047602590173483,65536
85.53,1.15,2962,0.0024351531,0.01171875,2.6804247,-0.0002091964,0.06864327,0.1913134,0.04503566026687622,3,768,39.111279249191284,98304
86.08,1.13,2938,0.0028725297,0.016815186,2.6788406,-0.00075676845,0.06112736,0.1773451,0.03123319149017334,4,1024,50.264173079282045,131072
91.39,1.12,2949,0.0036742883,0.038309734,2.6624234,-0.00088035717,0.049399186,0.15380757,0.03945732116699219,5,1280,61.37382182106376,163840
82.39,1.15,2910,0.0037187086,0.03768921,2.6481092,8.040897e-05,0.050796207,0.15439375,0.049236178398132324,6,1536,72.63491458445787,196608
83.4,1.21,2962,0.0040289448,0.04292806,2.6475372,-0.00032905818,0.056071494,0.16575186,0.03967607021331787,7,1792,83.6974491328001,229376
84.09,1.11,2878,0.0040500048,0.04288737,2.6412358,3.91216e-05,0.055843305,0.16443305,0.09562551975250244,8,2048,95.08278390020132,262144
81.49,1.09,3008,0.0038070178,0.040445965,2.6452348,0.00036105057,0.06266892,0.17752045,0.12935811281204224,9,2304,105.97633801400661,294912
96.28,1.59,2769,0.003681176,0.0446167,2.6410887,0.0006015079,0.06063507,0.17288889,0.13581198453903198,10,2560,117.80748931318521,327680
90.77,1.5,2933,0.005242962,0.055063885,2.6277573,-0.0004935506,0.054456234,0.16245471,0.14862924814224243,11,2816,128.97790123522282,360448
90.48,1.2,2711,0.0048131743,0.05351766,2.6431358,-0.00060378545,0.046548706,0.1471677,0.1643819808959961,12,3072,141.0618444159627,393216
84.16,1.3,2984,0.004971571,0.054718018,2.6316133,-0.0007354666,0.04757908,0.14926134,0.1362125277519226,13,3328,152.04057024419308,425984
99.03,1.53,2986,0.0047852867,0.04692586,2.6190932,0.0003882719,0.064896464,0.18139826,0.15856385231018066,14,3584,163.01455350220203,458752
89.95,1.54,2743,0.004346876,0.0454305,2.620866,0.0011550402,0.056672323,0.1634519,0.19811201095581055,15,3840,174.95794347673655,491520
81.96,1.33,3046,0.0061929324,0.062815346,2.5802727,0.0005517833,0.05856657,0.16763502,0.18250805139541626,16,4096,185.7146076783538,524288
95.11,1.53,2788,0.00638644,0.06981405,2.5701609,0.00045472916,0.056792576,0.1640789,0.20764774084091187,17,4352,197.46572049334645,557056
98.44,1.77,2978,0.0075816573,0.08339437,2.5563896,0.0007974462,0.05891602,0.16736491,0.23767393827438354,18,4608,208.46655236557126,589824
85.25,1.56,3006,0.0069003277,0.07365926,2.5806575,0.0016006465,0.056792084,0.16199602,0.20203018188476562,19,4864,219.3652814887464,622592
