eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
77.02,0.61,2070,8.26969e-05,0.0,2.7079706,-0.00024247153,0.2050948,0.46483395,0.003476738929748535,1,256,15.824301406741142,32768
82.13,0.7,2785,0.0001893661,0.0,2.707409,-0.00044738222,0.032891713,0.12082639,0.04229038953781128,2,512,27.68300311267376,65536
83.75,0.88,2916,0.0012699016,0.00025431314,2.7034502,-0.0006190007,0.054359388,0.1640258,0.055381178855895996,3,768,38.92110437899828,98304
84.5,1.02,2661,0.0029934698,0.008839925,2.692274,-0.001299783,0.05442975,0.16530453,0.037908732891082764,4,1024,51.2330743893981,131072
77.11,1.18,2950,0.0030568736,0.021911621,2.67795,-0.00040358442,0.078182764,0.21073167,0.037848711013793945,5,1280,62.38086748123169,163840
84.36,1.04,2672,0.0048195175,0.0455424,2.662178,-0.0008552147,0.049534913,0.15402381,0.07981628179550171,6,1536,74.6426111459732,196608
91.84,1.21,2825,0.0039699734,0.0450236,2.6529224,-0.00027314053,0.047037076,0.14767887,0.11299753189086914,7,1792,86.24226148426533,229376
89.9,1.21,2812,0.0041181385,0.04767863,2.6424644,0.00054535543,0.06215128,0.17606111,0.0989232063293457,8,2048,97.89226063340902,262144
91.06,1.22,2933,0.0048268284,0.04871623,2.6462574,-0.00040173493,0.056847405,0.16742341,0.14413583278656006,9,2304,109.10836666822433,294912
88.9,1.15,2090,0.0037493824,0.03789266,2.6479063,-0.00024048839,0.06287707,0.17919321,0.17143511772155762,10,2560,124.78680148720741,327680
86.01,1.32,2680,0.004623882,0.04805501,2.635348,-5.7654765e-05,0.05371462,0.16025153,0.1227838397026062,11,2816,137.01350271701813,360448
85.69,1.38,2932,0.0063365293,0.06476847,2.6064885,-0.0007455,0.072657645,0.19893606,0.16362082958221436,12,3072,148.1865876019001,393216
92.01,1.64,2773,0.0059701004,0.065592445,2.5891104,0.001627991,0.08500906,0.21854435,0.19894731044769287,13,3328,160.04472391307354,425984
93.96,1.65,2921,0.004798255,0.04590861,2.6208198,0.00014388732,0.06193681,0.17600222,0.1858842372894287,14,3584,171.2632688432932,458752
99.35,1.53,2962,0.0062277974,0.06877645,2.6100347,-4.676546e-05,0.05894813,0.17019047,0.23499959707260132,15,3840,182.32338365912437,491520
88.1,1.09,2864,0.0063287136,0.07168579,2.6076918,-0.0005125481,0.051668633,0.15651621,0.2463623285293579,16,4096,193.7627967968583,524288
107.88,1.99,2970,0.0063823233,0.073781334,2.6025703,-0.0001881671,0.06201606,0.17645986,0.2064630389213562,17,4352,204.83608746528625,557056
95.58,1.79,2978,0.007120294,0.08640543,2.613577,0.0010972741,0.055738002,0.16155297,0.25756263732910156,18,4608,215.83985394984484,589824
90.93,1.38,2925,0.007161183,0.08065796,2.5794747,-2.5747771e-05,0.048672516,0.14898601,0.2746240496635437,19,4864,227.0416043177247,622592
90.97,1.69,2476,0.006931879,0.0767924,2.5729547,0.00040177963,0.067362025,0.18537958,0.27052074670791626,20,5120,240.2728377431631,655360
100.79,1.73,2890,0.007456692,0.087015785,2.5711544,0.0007574235,0.05549815,0.16090454,0.3007028102874756,21,5376,251.65144213289022,688128
