eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.45,0.9,2391,0.00012700858,0.0,2.7079232,-0.0003817541,0.245869,0.54666,0.0076479315757751465,1,256,13.70240090903826,32768
84.63,0.99,2836,0.00015416356,0.0,2.7072918,-0.0003335974,0.066317834,0.1874487,0.00994783639907837,2,512,25.378279767988715,65536
91.59,1.18,2849,0.00066494267,0.0,2.7056408,-0.0011138524,0.04208943,0.14051937,0.024482131004333496,3,768,36.87667148903711,98304
86.1,0.92,2811,0.0041853054,0.020507812,2.6916742,-0.0019531653,0.052296888,0.16233361,0.02765721082687378,4,1024,48.53417131898459,131072
86.68,1.09,2756,0.0042938096,0.016215006,2.6683369,-0.0020638767,0.054738518,0.16697152,0.02476257085800171,5,1280,60.4227169600199,163840
82.64,1.1,2840,0.0033642284,0.0174764,2.6406538,-0.0017444277,0.0632256,0.18275313,0.019856572151184082,6,1536,71.9969493910321,196608
88.13,1.41,2793,0.003259776,0.020965576,2.6111004,-0.0010180495,0.07544004,0.2051382,0.03406757116317749,7,1792,83.72710039402591,229376
88.35,1.38,2848,0.00304738,0.0178833,2.6046677,-0.0014500228,0.07621441,0.20742221,0.05336475372314453,8,2048,95.23306768003386,262144
91.75,1.29,2868,0.002003722,0.008961995,2.6160953,-0.00086572254,0.06340331,0.18086,0.08000242710113525,9,2304,106.65565796603914,294912
89.77,1.35,2780,0.00355672,0.01542155,2.6239219,-0.0012887471,0.075433336,0.2059226,0.11407393217086792,10,2560,118.44164524198277,327680
96.47,1.43,2815,0.0032679895,0.02195231,2.5979793,-0.0016281302,0.06775849,0.19073279,0.11804348230361938,11,2816,130.11701848899247,360448
91.36,1.52,2872,0.0028471851,0.021514893,2.59464,-0.0016098226,0.06738065,0.18987377,0.1542186737060547,12,3072,141.52419011999154,393216
90.77,1.61,2844,0.0040633953,0.027882895,2.5560222,-0.0017320319,0.08575106,0.2260866,0.20554590225219727,13,3328,153.04512631800026,425984
97.82,1.42,2859,0.0031027272,0.016693115,2.550898,-0.0018699375,0.06314283,0.1810435,0.2651858329772949,14,3584,164.50352815701626,458752
