eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
156.97142857142856,2.857143,1785,0.0019057319,0.0068868003,2.706176,-0.0015942607,0.053953916,0.16521989,0.021271884441375732,1,256,18.350573185947724,32768
272.94,3.5,2680,0.0036317792,0.021921793,2.6904638,-0.0014262007,0.14925931,0.3551803,0.05970478057861328,2,512,30.74471692694351,65536
348.67,3.0,3120,0.002882228,0.009450276,2.6756089,-0.001439172,0.15944046,0.37527147,0.11839962005615234,3,768,41.24744428996928,98304
322.68,4.9,2802,0.0038754074,0.020884195,2.6555855,-0.0020528645,0.3596004,0.77641815,0.1912459135055542,4,1024,52.9422671739012,131072
160.31,3.5,3121,0.003318359,0.014292399,2.6236463,-0.00212643,0.32904348,0.71481276,0.2583736181259155,5,1280,63.4817149809096,163840
136.22,4.0,2833,0.0025697749,0.014017741,2.614401,-0.0009772453,0.41798314,0.89020896,0.2758558392524719,6,1536,75.04793539096136,196608
114.0,3.5,3198,0.0042561055,0.028808594,2.5648196,-0.0032104936,0.47922087,1.0161589,0.3567444086074829,7,1792,85.29446131899022,229376
109.98,3.5,2911,0.003066252,0.019714355,2.5537372,-0.0013270775,0.48934293,1.0324148,0.44695985317230225,8,2048,96.54856040293816,262144
103.59,4.6,3231,0.005160989,0.047912598,2.5153465,-0.001569747,0.6077078,1.2688619,0.4405760169029236,9,2304,106.72705888189375,294912
90.72,4.6,2906,0.004326266,0.031555176,2.48267,-0.0008723503,0.57979065,1.2109795,0.5294418632984161,10,2560,118.00220493692905,327680
76.02,4.0,3259,0.003841659,0.022491455,2.403424,-0.001715778,0.64363307,1.3387662,0.5864588618278503,11,2816,128.05678289290518,360448
70.73,5.4,2944,0.0043138256,0.03725179,2.4105537,0.00041074888,0.7669211,1.5812317,0.6066181659698486,12,3072,139.18698473996483,393216
75.68,4.1,3311,0.004279304,0.031514484,2.3668168,-0.0017004808,0.5485991,1.1479354,0.6611698567867279,13,3328,149.1218868899159,425984
72.08,4.2,2967,0.0029304232,0.021606445,2.34857,-0.00048233275,0.6109392,1.2698144,0.6701309382915497,14,3584,160.16640525497496,458752
67.34,3.8,3300,0.0038853306,0.02863566,2.3379269,-0.0010178671,0.6242984,1.2973913,0.6977102160453796,15,3840,170.09612149896566,491520
59.72,4.5,2986,0.0038395643,0.029042562,2.2472663,0.00048244194,0.744283,1.5325466,0.7236759066581726,16,4096,181.06789711595047,524288
64.94,4.7,3246,0.005721538,0.059265137,2.1850417,-0.00060068263,0.67816067,1.4012232,0.7266618311405182,17,4352,191.197492999956,557056
61.15,4.7,2959,0.0038927335,0.032836914,2.2761242,0.00021927938,0.7013154,1.4477144,0.7395064532756805,18,4608,202.26995160488877,589824
64.7,4.5,3295,0.0018555386,0.008168538,2.2270424,-0.0013176055,0.6597443,1.3666644,0.758274033665657,19,4864,212.21515953890048,622592
66.59,4.9,2937,0.0027874634,0.018035889,2.2818544,-0.001151964,0.5876285,1.223198,0.7630825787782669,20,5120,223.37199958693236,655360
58.85,4.8,3312,0.0038328574,0.024434408,2.207756,-0.0018959256,0.7402289,1.5284048,0.7601873427629471,21,5376,233.30399580392987,688128
58.69,5.2,2954,0.002549894,0.014984131,2.2600985,-0.0015639775,0.5911293,1.2305888,0.7856960743665695,22,5632,244.39453567191958,720896
61.55,4.7,3354,0.003968806,0.024007162,2.3022833,-0.00016306067,0.63237065,1.3111132,0.7964697033166885,23,5888,254.1627602779772,753664
64.73,5.0,2876,0.0031561812,0.023447672,2.2744908,-0.0015675044,0.64436406,1.3373529,0.8002423942089081,24,6144,265.553810133948,786432
66.18,4.9,3285,0.002133726,0.009633382,2.2563107,-0.0017154673,0.619597,1.2877508,0.78870789706707,25,6400,275.5639655078994,819200
56.42,4.6,2924,0.0021270572,0.014048259,2.2665772,-0.0021236797,0.58913106,1.2278411,0.8053403198719025,26,6656,286.7682896309998,851968
61.19,5.1,3312,0.003255857,0.021687826,2.217768,-0.0014902338,0.71545917,1.4782542,0.7875717729330063,27,6912,296.6608084939653,884736
55.35,5.7,2962,0.0027698753,0.01751709,2.1630251,-0.0012423508,0.7480081,1.5417618,0.7718863636255264,28,7168,307.7207121439278,917504
