eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
83.1,1.09,2352,0.00038167843,0.0,2.7076375,-0.00071768765,0.29291826,0.6414247,-0.0055931806564331055,1,256,13.929431457072496,32768
75.64,0.79,4004,0.0018168547,0.0049845376,2.7019823,-0.0011268714,0.055523496,0.16734041,0.003923773765563965,2,512,22.26414304319769,65536
87.01,1.1,4048,0.0026825024,0.01083374,2.6851737,-0.001894655,0.059636112,0.17676498,0.016093432903289795,3,768,30.358723220415413,98304
82.96,0.9,4087,0.00544644,0.025705973,2.6589,-0.0026413314,0.06966088,0.19778238,0.01802617311477661,4,1024,38.3761432338506,131072
94.63,1.58,4062,0.0038854189,0.01590983,2.6325142,-0.0019171265,0.075057626,0.20659983,0.03570824861526489,5,1280,46.495492370799184,163840
84.96,1.32,4075,0.0043673306,0.02407837,2.6061344,-0.0020123452,0.056229755,0.16860686,0.05988049507141113,6,1536,54.53610944095999,196608
97.85,1.83,4173,0.004683524,0.021453857,2.5849707,-0.0020194307,0.06904231,0.1938229,0.06259804964065552,7,1792,62.38814464677125,229376
99.65,1.69,3920,0.0032900395,0.014322917,2.568808,-0.0015903272,0.073257804,0.20107244,0.1174004077911377,8,2048,70.74650344997644,262144
94.53,1.33,4032,0.0025054014,0.004547119,2.5759523,-0.0009491818,0.06297464,0.17936666,0.1469813585281372,9,2304,78.90868395287544,294912
85.75,1.09,4032,0.004493618,0.026570639,2.5447407,-0.0028114289,0.055133298,0.16678429,0.17228764295578003,10,2560,87.03564499504864,327680
88.73,1.23,3956,0.003602744,0.023895264,2.5350955,-0.0024655003,0.06268686,0.18100661,0.19497054815292358,11,2816,95.31904152780771,360448
82.76,1.23,4021,0.0031350527,0.0174764,2.5632079,-0.002102203,0.056008473,0.16748549,0.24925720691680908,12,3072,103.46774018928409,393216
95.75,1.28,4014,0.0041184663,0.02988688,2.5636952,-0.0028501682,0.047227506,0.15142927,0.21036934852600098,13,3328,111.67125824466348,425984
89.03,1.41,3995,0.0042809756,0.030639648,2.532028,-0.0031519625,0.048078444,0.15310138,0.29105377197265625,14,3584,119.87398594152182,458752
90.28,1.62,4144,0.0047415653,0.039693195,2.517633,-0.0037260437,0.0626832,0.18317115,0.2223260998725891,15,3840,127.78098070342094,491520
102.4,1.89,4013,0.004739331,0.051249187,2.4868753,-0.0017807913,0.09349844,0.24029596,0.2547174096107483,16,4096,135.94505618978292,524288
100.1,1.78,4048,0.0042693694,0.030008951,2.448118,-0.0034266256,0.071953535,0.1997227,0.3034304976463318,17,4352,144.08527713734657,557056
90.56,1.41,4136,0.0052613444,0.05537923,2.4368184,-0.0043264306,0.071478836,0.2003469,0.3011220097541809,18,4608,152.00741229765117,589824
103.09,2.08,3987,0.004394328,0.036275227,2.4514642,-0.003964178,0.07641452,0.20978665,0.34973448514938354,19,4864,160.2248186385259,622592
97.89,1.66,3995,0.0047037154,0.04458618,2.4177692,-0.002806874,0.07105335,0.19607581,0.3610004782676697,20,5120,168.4276520907879,655360
100.78,1.96,4001,0.004432753,0.036895752,2.4074318,-0.0038865097,0.083399564,0.22272079,0.39250892400741577,21,5376,176.65029688552022,688128
107.37,2.13,3961,0.005102662,0.047098797,2.4082139,-0.0041624825,0.0715655,0.19962025,0.4102556109428406,22,5632,184.92304994538426,720896
98.89,1.79,3989,0.004842647,0.04360962,2.4136806,-0.0053980188,0.07625513,0.21157987,0.38834911584854126,23,5888,193.13790085352957,753664
96.07,1.69,4003,0.0051848227,0.05122884,2.4155679,-0.004937844,0.0727916,0.20377022,0.4291343092918396,24,6144,201.32326129451394,786432
99.22,1.78,4002,0.004234323,0.036448162,2.40354,-0.0040505896,0.07915477,0.21448152,0.4642091393470764,25,6400,209.54449417162687,819200
103.82,1.8,4024,0.0043888264,0.041605633,2.4033945,-0.0046356223,0.08502523,0.22738959,0.4841800928115845,26,6656,217.68735919054598,851968
102.05,1.77,4000,0.0054294504,0.05766805,2.412844,-0.0066283313,0.073034845,0.20758323,0.48131364583969116,27,6912,225.8783445265144,884736
101.06,1.9,3930,0.0049341233,0.04972331,2.3862727,-0.005543301,0.07482945,0.20847099,0.5203881859779358,28,7168,234.21507284604013,917504
95.9,1.68,3989,0.004531453,0.042144775,2.366571,-0.0050845635,0.07916783,0.21583618,0.5170267820358276,29,7424,242.46965513005853,950272
90.19,1.9,4010,0.0050201793,0.05517578,2.3493435,-0.0061602728,0.0878253,0.23495798,0.4810750484466553,30,7680,250.64017116557807,983040
97.52,1.8,3984,0.0043521626,0.04404704,2.3620734,-0.0040409476,0.08598868,0.2273007,0.5103299021720886,31,7936,258.86436504125595,1015808
100.07,2.21,4021,0.0055336677,0.06052653,2.362827,-0.0046036085,0.07572486,0.20791346,0.49178624153137207,32,8192,267.01255272421986,1048576
108.09,2.24,3987,0.005675988,0.061024982,2.3641398,-0.0072126035,0.059148755,0.18000554,0.5492383241653442,33,8448,275.26393915805966,1081344
98.7,1.68,3980,0.005517151,0.059315998,2.350748,-0.007223692,0.058041673,0.17754567,0.4759169816970825,34,8704,283.49726083129644,1114112
99.46,2.34,3939,0.005344486,0.060078938,2.34774,-0.007739359,0.058089856,0.17861325,0.5324457585811615,35,8960,291.8149437000975,1146880
96.89,2.27,4018,0.006298683,0.07815552,2.33058,-0.007986416,0.06308555,0.18875551,0.5163702070713043,36,9216,299.9700609948486,1179648
108.51,2.3,4015,0.0060689137,0.07181803,2.3529727,-0.007314509,0.056633323,0.17495513,0.505773663520813,37,9472,308.16505719162524,1212416
103.19,2.14,4002,0.006669422,0.07921346,2.345764,-0.006513266,0.054906014,0.16975386,0.4708881378173828,38,9728,316.3519527371973,1245184
99.2,1.64,4028,0.0067278235,0.08030192,2.3436768,-0.008275292,0.040628623,0.14468135,0.49127185344696045,39,9984,324.48551155719906,1277952
109.91,2.11,3987,0.0063792677,0.07588705,2.3534117,-0.008560739,0.04695863,0.15810697,0.4444507956504822,40,10240,332.7027021832764,1310720
103.69,1.91,3967,0.0066662803,0.07963053,2.3381803,-0.008855345,0.044180807,0.15283589,0.536573201417923,41,10496,340.9937019208446,1343488
104.14,1.92,4011,0.0072081666,0.09403483,2.3365877,-0.010006775,0.037673518,0.14209235,0.5280298590660095,42,10752,349.1628367025405,1376256
99.33,2.17,4000,0.0063549434,0.07546997,2.3298023,-0.008025496,0.04303573,0.14871849,0.5363294780254364,43,11008,357.3548098830506,1409024
99.94,1.83,3971,0.0072598606,0.09414673,2.350875,-0.009931118,0.035052832,0.1369854,0.5134870707988739,44,11264,365.6051933141425,1441792
106.35,2.27,3968,0.0062618232,0.07490031,2.36009,-0.009308116,0.043050185,0.15191841,0.4790230989456177,45,11520,373.8970026699826,1474560
109.85,2.27,4005,0.0071303495,0.089131676,2.3391848,-0.008676654,0.050311614,0.16476022,0.4923850893974304,46,11776,382.07838847953826,1507328
99.25,2.2,4003,0.006714855,0.081858315,2.3434875,-0.0075702667,0.043262888,0.14853606,0.5332705974578857,47,12032,390.26322072558105,1540096
109.18,2.11,3997,0.0066325828,0.08358765,2.3324084,-0.010121588,0.039921112,0.1467336,0.518166720867157,48,12288,398.46086467057467,1572864
111.75,2.4,3997,0.0068195383,0.08666992,2.3087444,-0.010839173,0.043012336,0.1538779,0.5297527313232422,49,12544,406.6929381713271,1605632
105.66,2.07,3996,0.0072646514,0.09265137,2.3070748,-0.010098617,0.039300967,0.14494067,0.5284440815448761,50,12800,414.89232952333987,1638400
112.4,2.68,4017,0.0072738617,0.09298706,2.3017948,-0.010070416,0.047786906,0.16175054,0.541554182767868,51,13056,423.0491504725069,1671168
107.68,2.31,3983,0.0076114065,0.09915161,2.3161643,-0.010705642,0.04173997,0.15121451,0.5669903755187988,52,13312,431.2754080481827,1703936
116.03,2.7,4008,0.0068467692,0.08668009,2.3469481,-0.010158951,0.04881976,0.16489638,0.5260215699672699,53,13568,439.48618404287845,1736704
108.4,2.31,4017,0.0071270242,0.09253947,2.3387098,-0.01088193,0.046884958,0.16230798,0.5616366267204285,54,13824,447.6428272491321,1769472
116.65,2.64,4001,0.006931026,0.08939616,2.2986352,-0.011883251,0.042421762,0.15458272,0.5579290390014648,55,14080,455.8324659373611,1802240
113.35,2.58,3923,0.0070103337,0.091908775,2.3106806,-0.010450275,0.048263025,0.16364017,0.5403075516223907,56,14336,464.1857475573197,1835008
116.67,2.7,4002,0.0071998555,0.093037926,2.3020513,-0.0109092,0.04703118,0.16192177,0.5655720233917236,57,14592,472.40577018633485,1867776
114.27,2.53,4009,0.007888715,0.105285645,2.2983258,-0.013345298,0.043704063,0.16006525,0.5802347958087921,58,14848,480.5794684579596,1900544
120.07,2.56,3987,0.007562587,0.09864298,2.3004787,-0.011717908,0.04832578,0.16609694,0.5654147565364838,59,15104,488.7971753543243,1933312
111.89,2.91,4035,0.007765508,0.100413,2.2916071,-0.012289728,0.051981196,0.17437398,0.5719325244426727,60,15360,496.9170533940196,1966080
115.01,2.72,4019,0.007943707,0.10435995,2.3115342,-0.011580183,0.054519404,0.17842983,0.5998636782169342,61,15616,505.12512811552733,1998848
118.49,2.6,4048,0.008296953,0.11394247,2.2847648,-0.010947034,0.051297624,0.17018461,0.5919127464294434,62,15872,513.2192135956138,2031616
120.82,2.81,3988,0.008760392,0.12109375,2.2907405,-0.013443611,0.043701056,0.16010414,0.6022012233734131,63,16128,521.4361549466848,2064384
114.32,2.44,4002,0.009193264,0.12916057,2.29867,-0.012278183,0.046748277,0.1640263,0.6055846512317657,64,16384,529.6240114551038,2097152
110.93,2.4,3999,0.008520499,0.116485596,2.2801673,-0.011591419,0.047428053,0.1636423,0.5531612038612366,65,16640,537.8523215828463,2129920
112.97,2.52,3981,0.009308885,0.1310323,2.2955966,-0.012082744,0.04424475,0.1585669,0.5744540691375732,66,16896,546.0819730963558,2162688
108.07,2.63,3981,0.009094217,0.123921715,2.2903008,-0.013378958,0.048875615,0.17031516,0.5724844336509705,67,17152,554.3130726041272,2195456
111.33,2.52,4019,0.009279362,0.1299947,2.2700698,-0.014008935,0.04217231,0.15776387,0.599852591753006,68,17408,562.4649722911417,2228224
111.53,2.64,3994,0.009067933,0.12718709,2.2553198,-0.011838894,0.045233306,0.15925078,0.5998767614364624,69,17664,570.7051341673359,2260992
115.91,2.5,3972,0.008703867,0.11810303,2.264673,-0.013802465,0.04548432,0.16386703,0.5852976441383362,70,17920,578.9537715800107,2293760
126.32,3.07,4018,0.009282644,0.12711589,2.238891,-0.011903605,0.051759854,0.1721047,0.6088272631168365,71,18176,587.1090501556173,2326528
111.74,2.43,3986,0.009792961,0.13603719,2.2507558,-0.014074822,0.042371526,0.15790781,0.6193920969963074,72,18432,595.3294649673626,2359296
120.2,2.72,3983,0.0077315145,0.10203043,2.285878,-0.012944649,0.055425767,0.18245842,0.5713002979755402,73,18688,603.5893571358174,2392064
115.37,2.93,4002,0.0072037033,0.09221395,2.2816014,-0.01180565,0.05300652,0.17525636,0.5951797068119049,74,18944,611.7759152147919,2424832
112.41,2.24,4002,0.00924809,0.12976074,2.2936978,-0.014085598,0.050064977,0.1741751,0.6018756926059723,75,19200,619.9622764661908,2457600
114.99,2.85,4016,0.008599813,0.117360435,2.2875388,-0.013834942,0.04727522,0.16797106,0.6233341693878174,76,19456,628.120977201499,2490368
105.67,2.38,4026,0.008698539,0.11622111,2.2589242,-0.0115430765,0.059170637,0.18660593,0.6456375420093536,77,19712,636.2942071473226,2523136
113.38,2.64,3980,0.009517004,0.13286336,2.2489562,-0.013792406,0.051341314,0.17524658,0.6280475556850433,78,19968,644.5263038966805,2555904
114.72,2.88,4032,0.008250861,0.11088053,2.257406,-0.012560564,0.051532745,0.17333473,0.6356125175952911,79,20224,652.652621136047,2588672
114.28,2.85,4015,0.009369307,0.12627156,2.257656,-0.016510248,0.053518627,0.18521084,0.6308924853801727,80,20480,660.8134488984942,2621440
114.43,2.59,4115,0.009969986,0.13851929,2.2268026,-0.0155765945,0.044682216,0.16505368,0.636640340089798,81,20736,668.8093047337607,2654208
111.48,2.69,3966,0.009581248,0.13390096,2.2465813,-0.015942795,0.046484932,0.16978706,0.6476908624172211,82,20992,677.0715658031404,2686976
115.46,2.84,3970,0.008799185,0.12094116,2.2685359,-0.014817573,0.044929132,0.16486411,0.6512738466262817,83,21248,685.3242178671062,2719744
115.32,2.87,4019,0.009151696,0.12875366,2.2632217,-0.014947045,0.04856507,0.17228867,0.6164598762989044,84,21504,693.4762832783163,2752512
113.63,2.51,4008,0.009169541,0.12719727,2.2617056,-0.014878695,0.045399915,0.16579132,0.6597748398780823,85,21760,701.6891176952049,2785280
122.18,2.75,3995,0.00934595,0.12846883,2.2644427,-0.015135377,0.0484927,0.172545,0.6298344731330872,86,22016,709.8910663472489,2818048
123.51,2.97,4025,0.008904218,0.121785484,2.2753506,-0.015220902,0.046671193,0.1692912,0.6441427767276764,87,22272,718.032025587745,2850816
113.84,2.57,4016,0.009384391,0.13078816,2.2564335,-0.014275335,0.03981293,0.15330519,0.6587949395179749,88,22528,726.1910070050508,2883584
115.25,2.49,4126,0.009627513,0.13296509,2.2438564,-0.014354146,0.050638627,0.17486267,0.6133823394775391,89,22784,734.1655573230237,2916352
107.53,2.66,4009,0.010052348,0.14020793,2.212148,-0.0162227,0.052210543,0.18110944,0.6362486779689789,90,23040,742.3389942413196,2949120
117.75,3.11,3996,0.0093826465,0.1298523,2.2368124,-0.015918236,0.04042315,0.15741901,0.6599244177341461,91,23296,750.5396047541872,2981888
113.73,2.44,3968,0.010030593,0.14054362,2.252343,-0.015785845,0.04061099,0.15784054,0.6538597941398621,92,23552,758.7971228202805,3014656
119.13,3.2,3971,0.009322849,0.12878418,2.2356288,-0.013499306,0.04954433,0.17079987,0.6673694849014282,93,23808,767.0834133382887,3047424
116.9,3.1,3986,0.008811449,0.1204834,2.2346652,-0.015719159,0.048927475,0.1739866,0.6349467635154724,94,24064,775.3040132131428,3080192
119.26,2.83,4023,0.00963503,0.13215129,2.2462833,-0.016264519,0.039585993,0.15662669,0.665253221988678,95,24320,783.4483567187563,3112960
125.33,2.92,4004,0.010852389,0.15048218,2.2275283,-0.017162105,0.040000834,0.15887645,0.6485643982887268,96,24576,791.6312754303217,3145728
122.3,3.25,4015,0.010227897,0.14672852,2.2175736,-0.015219897,0.048411608,0.17161448,0.6743697822093964,97,24832,799.8244599346071,3178496
112.97,3.01,4028,0.009858506,0.13852946,2.210269,-0.017145108,0.05477122,0.188038,0.6525556147098541,98,25088,807.9594503678381,3211264
112.42,2.73,3989,0.010095319,0.14126587,2.2480943,-0.015259624,0.04534268,0.16616647,0.6679365932941437,99,25344,816.1729341614991,3244032
112.11,2.75,3989,0.010837316,0.1524353,2.223471,-0.017315624,0.04037879,0.15985826,0.6541041433811188,100,25600,824.3870505457744,3276800
118.83,2.81,3992,0.011325291,0.16205852,2.2328274,-0.016931983,0.040330496,0.15918149,0.633391797542572,101,25856,832.6302652731538,3309568
108.28,2.83,4000,0.010526918,0.14842732,2.2089715,-0.016857006,0.05115472,0.18020289,0.6446529626846313,102,26112,840.822176954709,3342336
113.74,2.97,4014,0.008833789,0.120798744,2.1907237,-0.015584256,0.042883392,0.16074975,0.69474658370018,103,26368,848.9859710028395,3375104
114.03,3.15,4001,0.010189069,0.14314778,2.1764328,-0.015747182,0.05111611,0.17725527,0.6953836381435394,104,26624,857.1756347967312,3407872
126.42,3.03,3990,0.0107609965,0.15198772,2.1694834,-0.015605194,0.049849465,0.17429896,0.6890024840831757,105,26880,865.425327764824,3440640
