eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
169.03703703703704,4.0740743,2164,0.0010538527,0.00022379558,2.707009,-0.0009503963,0.10612315,0.2682872,0.042985737323760986,1,256,15.13648727000691,32768
286.5730337078652,3.8202248,2880,0.0032692032,0.013621013,2.6959069,-0.0010733816,0.09109648,0.23825787,0.12628507614135742,2,512,26.716320662002545,65536
357.26,5.0,2907,0.0032959178,0.019632975,2.6853762,-0.00095283956,0.21455543,0.48472404,0.1823367476463318,3,768,37.98583753895946,98304
318.8,4.4,2858,0.0033406944,0.032511394,2.6765802,-0.0012535221,0.2879311,0.63190085,0.2500920295715332,4,1024,49.44929860898992,131072
191.09,4.9,2890,0.0042668083,0.04458618,2.6580405,-0.0014165831,0.3646454,0.7852848,0.3099355697631836,5,1280,60.785479286976624,163840
151.33,4.8,2860,0.0054761334,0.059122723,2.6476855,-0.0016916421,0.3822136,0.82076406,0.4026464819908142,6,1536,72.27849014400272,196608
126.41,5.0,2833,0.0047635804,0.051890057,2.6470606,-0.0010995847,0.38373506,0.82261044,0.4763261079788208,7,1792,83.84282783197705,229376
133.91,4.7,2850,0.005207555,0.055511475,2.6380541,-0.001251148,0.32919252,0.7136484,0.5581210553646088,8,2048,95.3387155039818,262144
156.88,4.6,2893,0.0061445627,0.06323242,2.6308415,0.00056390546,0.3691723,0.7898336,0.6129263341426849,9,2304,106.66339193395106,294912
131.46,4.2,2853,0.007137532,0.076812744,2.6150734,-0.0006637035,0.27903572,0.61170036,0.6925176978111267,10,2560,118.1466564599541,327680
119.47,5.2,2840,0.0075374064,0.078196205,2.6045723,-0.002451647,0.32382646,0.7046476,0.726712554693222,11,2816,129.71477917098673,360448
124.95,4.9,2846,0.008284001,0.08078003,2.5799928,-0.0008069046,0.34032533,0.73386425,0.7381456196308136,12,3072,141.22621694399277,393216
108.4,5.2,2865,0.010659921,0.10128784,2.5517187,0.0012020754,0.4755889,0.9998079,0.7347294092178345,13,3328,152.6639593919972,425984
92.88,4.9,2884,0.00955203,0.08359782,2.5514343,0.0006645331,0.43041685,0.9105334,0.7642036378383636,14,3584,164.0240653739893,458752
90.22,5.1,2894,0.010791495,0.09047445,2.5264785,0.0023205064,0.48679256,1.0194739,0.7611217647790909,15,3840,175.34374732000288,491520
90.81,4.9,2826,0.011809357,0.10147095,2.522517,0.000494,0.45440015,0.9582624,0.7772828191518784,16,4096,186.98158714495366,524288
91.54,4.1,2836,0.008439093,0.078420006,2.5583003,0.00050692214,0.41110352,0.87235934,0.7746101766824722,17,4352,198.53354621195467,557056
89.6,4.7,2817,0.0078049805,0.0707194,2.5656173,0.0010248226,0.37240013,0.7940629,0.7894967794418335,18,4608,210.1644387099659,589824
99.88,5.5,2838,0.00972018,0.0888265,2.556414,0.001755381,0.46245396,0.9725254,0.7876963317394257,19,4864,221.7078034459846,622592
88.32,5.2,2898,0.011053898,0.10117594,2.5365593,0.0013068117,0.5218813,1.09188,0.8006266355514526,20,5120,233.01362596196122,655360
89.57,5.1,2833,0.010803035,0.094045006,2.5343182,0.0018519028,0.5157072,1.0783969,0.7690580189228058,21,5376,244.61572737095412,688128
