eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
150.10526315789474,2.631579,2073,0.0007114674,0.0,2.7073689,-0.00059809216,0.085952125,0.22724777,0.03457516431808472,1,256,15.799711145460606,32768
262.92857142857144,3.5714285,2703,0.0011188086,1.0172526e-05,2.7026157,-0.0007249815,0.12819459,0.31189147,0.07186812162399292,2,512,28.126242749392986,65536
390.76,4.1,2787,0.004152737,0.0179952,2.6878645,-0.0020283286,0.1653873,0.38858858,0.1650381088256836,3,768,39.882680140435696,98304
396.81,3.5,2593,0.0045903944,0.027770996,2.6648824,-0.002938211,0.27178037,0.60273474,0.2153536081314087,4,1024,52.520494014024734,131072
174.02,4.4,2507,0.0038118723,0.02794393,2.6374686,-0.0019155815,0.4686819,0.99394447,0.3047749996185303,5,1280,65.58851464092731,163840
161.1,4.4,2514,0.0034108844,0.015055339,2.6392272,-0.003344287,0.4040633,0.8675998,0.3653687834739685,6,1536,78.66027831286192,196608
123.52,4.8,2476,0.0035526892,0.026123047,2.5879266,-0.0019941006,0.56624275,1.1882322,0.44540536403656006,7,1792,91.89269212633371,229376
112.65,4.1,2513,0.0033041313,0.029632568,2.5892687,-0.0003791258,0.5827365,1.2180165,0.48753678798675537,8,2048,104.93148813396692,262144
98.52,4.5,2492,0.0030346548,0.020904541,2.5277662,-0.0015735977,0.6364453,1.3265928,0.5143042206764221,9,2304,118.08053007721901,294912
93.7,4.3,2516,0.003913261,0.034627277,2.4907322,-0.00020353659,0.76053786,1.5712973,0.5127127468585968,10,2560,131.1003474071622,327680
68.71,4.5,2540,0.00449683,0.036834717,2.4334788,0.0016462755,0.8173023,1.6799817,0.6125039160251617,11,2816,144.0394190773368,360448
69.29,4.8,2517,0.005236849,0.041931152,2.3936923,-0.0015970976,0.6920863,1.4352404,0.6754522919654846,12,3072,157.05389407277107,393216
68.58,5.0,2497,0.0043137036,0.02782186,2.342714,-0.001997784,0.7068789,1.4646078,0.6886150538921356,13,3328,170.17684699594975,425984
68.18,3.6,2521,0.003563943,0.030507406,2.3488662,-0.0008110185,0.6619535,1.3725065,0.7034486532211304,14,3584,183.17559064924717,458752
66.29,4.7,2556,0.003019993,0.019042969,2.361842,-0.0017160777,0.6496176,1.3499044,0.7321489155292511,15,3840,195.99206790328026,491520
63.3,5.4,2527,0.0033037448,0.027170816,2.3215365,0.0012947029,0.84999925,1.7438396,0.7228754162788391,16,4096,209.00116664916277,524288
70.09,4.9,2550,0.0035014872,0.018452963,2.2758377,-0.0015150388,0.7343456,1.5172381,0.7406057119369507,17,4352,221.8519937545061,557056
65.18,5.4,2433,0.002901418,0.019561768,2.3144476,-0.0014291178,0.744659,1.5384651,0.7506048530340195,18,4608,235.31923665106297,589824
66.26,4.6,2514,0.004313675,0.039733887,2.323119,-0.0031542536,0.7010534,1.4548775,0.756282389163971,19,4864,248.34940037876368,622592
66.12,5.4,2521,0.0021628162,0.0119222,2.278643,-0.0005749743,0.89883494,1.8443928,0.733163058757782,20,5120,261.3444872125983,655360
62.32,5.3,2549,0.002262098,0.0098775225,2.2812953,-2.4660423e-05,0.8285587,1.7027923,0.7566386461257935,21,5376,274.2390424758196,688128
62.37,5.5,2570,0.0018351767,0.005065918,2.2729104,-0.0012012305,0.8159576,1.6797757,0.7323691844940186,22,5632,286.98542965203524,720896
63.85,5.5,2575,0.0032577973,0.025227865,2.2937381,-0.0014590606,0.7318297,1.512452,0.7659486830234528,23,5888,299.71052795648575,753664
61.85,5.3,2497,0.0030806952,0.018503824,2.2904654,-0.0023649728,0.6758886,1.4023165,0.7574975937604904,24,6144,312.83169962465763,786432
62.46,4.3,2486,0.002361838,0.016428629,2.3433619,-0.00047472553,0.6705401,1.3888968,0.7768137454986572,25,6400,326.00872327387333,819200
55.57,5.2,2494,0.0033999796,0.029683432,2.281263,-0.0013601081,0.7492869,1.5469195,0.7571276426315308,26,6656,339.1855206862092,851968
59.89,5.3,2547,0.0026641588,0.016805014,2.3196855,-0.001683877,0.6492534,1.348268,0.7565109133720398,27,6912,352.04904153198004,884736
59.05,5.9,2561,0.0025213102,0.015523274,2.3022165,-0.0010751189,0.68363094,1.4154564,0.7643127292394638,28,7168,364.84474048018456,917504
60.89,4.8,2552,0.0026703032,0.011291504,2.3378851,-0.00115098,0.65019256,1.3494447,0.7768727093935013,29,7424,377.683600589633,950272
67.7,6.0,2516,0.003733793,0.028798422,2.2772346,-0.00099303,0.69042057,1.4283718,0.7807174921035767,30,7680,390.70564886927605,983040
64.01,5.6,2442,0.0030281653,0.021993002,2.3027637,-0.0020511937,0.6520733,1.3543044,0.7914896756410599,31,7936,404.1586341112852,1015808
71.28,5.9,2452,0.00525804,0.059743244,2.3125637,-0.00052034395,0.65237,1.3520322,0.8048242032527924,32,8192,417.5178239271045,1048576
65.57,4.5,2544,0.0043113427,0.036916096,2.336914,-0.0021044656,0.6524298,1.3558067,0.7913751006126404,33,8448,430.3969950079918,1081344
64.84,4.6,2513,0.0020126554,0.008239746,2.3626375,-0.0011130123,0.6301666,1.3098118,0.8030301481485367,34,8704,443.4334526434541,1114112
60.31,5.7,2552,0.0024168538,0.014526367,2.3732183,-0.002044086,0.5646493,1.1808511,0.8034462928771973,35,8960,456.2712169364095,1146880
69.54,5.4,2546,0.00301482,0.018463135,2.3538685,-0.00070238154,0.720166,1.4888142,0.7661687433719635,36,9216,469.17620400339365,1179648
63.57,4.3,2498,0.0043970426,0.036895752,2.328326,-0.0017280956,0.64469165,1.3394064,0.7898980379104614,37,9472,482.29157649725676,1212416
64.26,5.5,2493,0.0038038008,0.03515625,2.343032,0.0008779361,0.75815797,1.5614208,0.7954040020704269,38,9728,495.4345559850335,1245184
72.7,6.1,2529,0.0029849957,0.021860758,2.359092,-0.0019035881,0.70008045,1.4511501,0.8011825233697891,39,9984,508.38837411254644,1277952
60.85,5.9,2539,0.0018199481,0.008026123,2.3514178,-0.0009721113,0.77582234,1.6006173,0.7879943400621414,40,10240,521.2927812561393,1310720
54.51,5.6,2514,0.00304866,0.024190268,2.3310819,-0.0015383712,0.72914416,1.5079867,0.7933113425970078,41,10496,534.3700399845839,1343488
66.33,5.2,2521,0.0049516386,0.05473836,2.329809,-0.00041914964,0.82517034,1.6977749,0.7737424075603485,42,10752,547.3682066574693,1376256
67.48,4.5,2517,0.0032778436,0.030832926,2.3424613,-0.0025198988,0.646144,1.3441769,0.7870738357305527,43,11008,560.3825806081295,1409024
62.25,5.2,2548,0.0035731622,0.030354818,2.2898436,-0.0014738953,0.67319345,1.3951315,0.7641541361808777,44,11264,573.2414686605334,1441792
61.59,5.7,2541,0.0037079414,0.03307088,2.3032854,-0.0028388028,0.5892388,1.2302212,0.7806658893823624,45,11520,586.1368792131543,1474560
57.63,6.7,2508,0.0040332074,0.04537964,2.2841473,-0.00093805586,0.6996103,1.4467801,0.77913498878479,46,11776,599.2397634759545,1507328
60.63,6.6,2537,0.0029307639,0.019846598,2.2517972,-0.0017552013,0.6390392,1.3266248,0.7634604573249817,47,12032,612.1519940942526,1540096
61.28,5.2,2537,0.002748642,0.021616617,2.2616282,-0.0020981873,0.5877394,1.2249075,0.77884142100811,48,12288,625.0686692595482,1572864
59.1,5.1,2522,0.0038463913,0.031158447,2.2909331,-0.0023356427,0.60509473,1.2606794,0.7752283066511154,49,12544,638.0620023235679,1605632
58.11,5.9,2492,0.0033447274,0.021799723,2.3250582,-0.0012795847,0.6241105,1.2972816,0.7855128198862076,50,12800,651.2083095610142,1638400
68.28,4.8,2443,0.0034799872,0.030039469,2.2977717,-0.0029713965,0.5706131,1.193124,0.791292354464531,51,13056,664.655806094408,1671168
55.96,5.6,2516,0.0046665175,0.051645916,2.2809877,-0.0029521387,0.58715206,1.225828,0.8080220222473145,52,13312,677.6787698492408,1703936
55.8,5.3,2533,0.00345507,0.025777182,2.2686906,-0.0020582054,0.6491821,1.3478545,0.7704626023769379,53,13568,690.6147830635309,1736704
64.67,5.4,2529,0.003598028,0.03133138,2.3166144,-0.0024241952,0.5403786,1.1319376,0.8155525177717209,54,13824,703.5712140649557,1769472
54.87,5.8,2499,0.0038325663,0.02549235,2.2552812,-0.002089536,0.5724587,1.1942021,0.8177347034215927,55,14080,716.6811178326607,1802240
68.59,6.7,2469,0.0036378354,0.030466715,2.2660782,-0.001887649,0.5974924,1.2440815,0.8073181807994843,56,14336,729.9876536279917,1835008
66.71,5.3,2434,0.009816415,0.12106323,2.256081,0.0036133025,1.0856779,2.209251,0.7607661038637161,57,14592,743.4484759494662,1867776
58.43,6.2,2528,0.0035581775,0.030263266,2.2775204,-0.0018397678,0.72915787,1.5075455,0.7658648639917374,58,14848,756.4081049636006,1900544
57.79,4.7,2465,0.004776806,0.043111164,2.2638588,-0.0029178166,0.6549271,1.3609672,0.7790984660387039,59,15104,769.7001009583473,1933312
60.82,5.8,2466,0.003957067,0.03866577,2.2629263,-0.0018107105,0.6644402,1.3777603,0.7771408408880234,60,15360,782.9866799637675,1966080
62.75,4.6,2451,0.0042186123,0.041859943,2.2829947,-0.002633639,0.6695397,1.3900065,0.775484025478363,61,15616,796.3944419845939,1998848
65.76,6.5,2477,0.003328909,0.026265463,2.2486527,-0.0024109203,0.6848896,1.4195741,0.7877942472696304,62,15872,809.6226376667619,2031616
62.34,6.2,2490,0.0032643145,0.026794434,2.270366,-0.0022323474,0.65687186,1.3636156,0.7808834910392761,63,16128,822.7827630713582,2064384
59.7,5.5,2450,0.005059583,0.05741374,2.259668,-0.0020761832,0.65179825,1.3529423,0.771252378821373,64,16384,836.1547459885478,2097152
61.45,6.2,2509,0.0032513135,0.0262146,2.2285945,-0.0021923867,0.65989166,1.3687401,0.7794191986322403,65,16640,849.2147405743599,2129920
67.11,5.3,2440,0.0041513373,0.04178874,2.2703574,-0.0032932882,0.59606814,1.24413,0.7875350564718246,66,16896,862.703381061554,2162688
68.17,4.5,2454,0.0046872837,0.04784139,2.243306,-0.004085024,0.6221657,1.2973675,0.778076633810997,67,17152,876.0537027567625,2195456
61.42,6.7,2453,0.003276813,0.022288004,2.2735665,-0.002037268,0.54594004,1.1414258,0.8035614192485809,68,17408,889.4128070324659,2228224
64.1,5.4,2481,0.004157233,0.038197834,2.2755773,-0.0007897392,0.58304733,1.2131857,0.8044205754995346,69,17664,902.6213375851512,2260992
65.36,5.9,2495,0.0048075113,0.051483154,2.2599542,-0.004485827,0.61647874,1.2871281,0.7717116922140121,70,17920,915.7535888403654,2293760
73.28,5.2,2477,0.004639907,0.044555664,2.2546113,-0.0030625202,0.5852402,1.2216974,0.7855558842420578,71,18176,929.0236002802849,2326528
63.39,6.3,2475,0.004432628,0.04114787,2.2702901,-0.0031547265,0.5688613,1.1894379,0.801081970334053,72,18432,942.2613225579262,2359296
79.4,5.7,2482,0.004552596,0.04503377,2.347279,-0.003945418,0.51240784,1.0796522,0.80161152780056,73,18688,955.4608673974872,2392064
73.44,5.4,2499,0.0043419,0.04731242,2.351835,-0.003664694,0.5037146,1.0617954,0.8125087916851044,74,18944,968.5726838186383,2424832
74.32,5.6,2461,0.0032786673,0.028218588,2.35594,-0.0025715332,0.54328513,1.1388321,0.8125261068344116,75,19200,981.8876979276538,2457600
81.63,6.4,2419,0.0053916182,0.048034668,2.345076,-0.000695239,0.5869522,1.2221963,0.8059083819389343,76,19456,995.469720967114,2490368
69.51,6.3,2496,0.004153102,0.03886922,2.3101275,-0.0030276303,0.5079358,1.0681294,0.8163042664527893,77,19712,1008.5984126105905,2523136
72.78,6.0,2450,0.004519392,0.049713135,2.3499954,-0.0045061675,0.5042723,1.0645567,0.8123973906040192,78,19968,1021.972413122654,2555904
80.68,5.8,2424,0.003935413,0.038706463,2.333233,-0.0029569222,0.52272207,1.0980228,0.8097325414419174,79,20224,1035.4875130876899,2588672
63.53,6.5,2505,0.0056254924,0.06449381,2.3328733,-0.0024840308,0.55009663,1.1518188,0.804577961564064,80,20480,1048.5675885677338,2621440
69.15,6.2,2498,0.0042435112,0.04336548,2.3185363,-0.00445417,0.46501735,0.98531383,0.8226650059223175,81,20736,1061.7223264202476,2654208
68.33,6.1,2487,0.0055814483,0.061716717,2.2872841,-0.0026454881,0.51433223,1.0797012,0.8262325078248978,82,20992,1074.8952799066901,2686976
79.52,5.8,2505,0.0042473706,0.03982544,2.325139,-0.001976825,0.51643753,1.0833315,0.8171557933092117,83,21248,1087.9765146821737,2719744
