eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
74.25,0.84,2316,0.00024732813,0.0,2.7078245,-0.00049348455,0.27350193,0.6021474,-0.02428257465362549,1,256,14.143275082111359,32768
81.55,1.0,2746,0.000120058656,0.0,2.7069921,-0.00034339525,0.06466845,0.18416353,-0.00201261043548584,2,512,26.29262565076351,65536
75.66,0.76,2802,0.0010502607,0.0008239746,2.7030647,-0.0012859254,0.06997736,0.19658785,0.04193979501724243,3,768,37.984592251479626,98304
79.79,1.03,2804,0.0041090124,0.0118306475,2.6834142,-0.0016264323,0.05915217,0.17522548,0.019164204597473145,4,1024,49.67034425586462,131072
85.27,1.06,2813,0.002990118,0.006713867,2.6632597,-0.0011938734,0.056463733,0.16858041,0.0005154013633728027,5,1280,61.318122655153275,163840
84.4,1.27,2809,0.002542341,0.006917318,2.648258,-0.0012480911,0.059400007,0.17426132,0.019034624099731445,6,1536,73.02443193644285,196608
84.9,1.27,2724,0.00304454,0.009663899,2.61679,-0.001297804,0.075725354,0.20638211,0.03199148178100586,7,1792,85.05405127257109,229376
91.75,1.41,2788,0.0032536008,0.007191976,2.5967572,-0.0013448372,0.065922335,0.18646948,0.05913609266281128,8,2048,96.80771587044,262144
87.15,1.29,2747,0.0020854147,0.0057373047,2.6007626,-0.0011693452,0.06512399,0.18460192,0.07943731546401978,9,2304,108.73325794190168,294912
86.69,1.29,2779,0.0025115535,0.011617024,2.5909994,-0.0017337938,0.06812074,0.19152908,0.092526376247406,10,2560,120.52414305508137,327680
86.7,1.28,2764,0.0034855453,0.02041626,2.5641398,-0.0020240073,0.052311372,0.15995355,0.10685282945632935,11,2816,132.41550681740046,360448
92.49,1.59,2774,0.003477102,0.022277832,2.5521448,-0.0026330242,0.06087136,0.17805165,0.12423139810562134,12,3072,144.22860919684172,393216
91.76,1.4,2739,0.0038974609,0.019795736,2.5208626,-0.002285009,0.0625964,0.18018009,0.14931082725524902,13,3328,156.18993850052357,425984
87.91,1.47,2787,0.004468897,0.01957194,2.4855745,-0.0023793066,0.071010426,0.19649094,0.14791959524154663,14,3584,167.94563191384077,458752
92.61,1.5,2767,0.0055024195,0.03873698,2.477772,-0.0034857877,0.057192445,0.17091192,0.18691092729568481,15,3840,179.78712743520737,491520
89.66,1.43,2768,0.003999933,0.02557373,2.4970133,-0.0024560122,0.0714458,0.19774388,0.1970452070236206,16,4096,191.66779866069555,524288
88.9,1.72,3168,0.0041071894,0.02633667,2.484149,-0.0024906965,0.08631175,0.22728784,0.21987372636795044,17,4352,202.0097643211484,557056
91.01,1.28,2754,0.003738628,0.029459635,2.495186,-0.0029960796,0.058573324,0.17304252,0.23180115222930908,18,4608,213.90491512417793,589824
92.75,1.65,2754,0.002472185,0.013498942,2.4911141,-0.0024025633,0.07731713,0.2092617,0.24624848365783691,19,4864,225.80280327796936,622592
90.74,1.46,2736,0.004114132,0.033325195,2.5051262,-0.0024728933,0.062935494,0.1809193,0.2606607675552368,20,5120,237.77707897871733,655360
101.42,1.66,2756,0.0033498881,0.024068197,2.466549,-0.002585509,0.07943194,0.21336587,0.2431877851486206,21,5376,249.70684778690338,688128
105.4,2.08,2764,0.0030263907,0.020843506,2.4792194,-0.0028091315,0.07147903,0.1981607,0.2743343114852905,22,5632,261.5627186894417,720896
96.81,1.91,2739,0.0038884962,0.03282674,2.4562504,-0.0034111666,0.06605586,0.18805909,0.29680800437927246,23,5888,273.5253150090575,753664
81.83,1.3,2777,0.004553385,0.036590576,2.4598417,-0.0031422258,0.07670199,0.2088853,0.28233975172042847,24,6144,285.32373835891485,786432
98.59,1.98,2756,0.0036362952,0.027109781,2.4239924,-0.0031570506,0.06684486,0.18848364,0.2933475971221924,25,6400,297.2124599069357,819200
91.85,1.56,2761,0.0044962405,0.04179891,2.430103,-0.0037796681,0.06703751,0.19023643,0.29301780462265015,26,6656,309.11930768191814,851968
103.96,2.04,2761,0.00465377,0.038146973,2.4074483,-0.0028445646,0.07640965,0.20665736,0.31550073623657227,27,6912,320.98411264270544,884736
93.1,1.53,2745,0.003721387,0.03375244,2.3981721,-0.0041796067,0.05159965,0.15952198,0.30863285064697266,28,7168,332.92119435220957,917504
101.61,2.2,2761,0.004004502,0.035186768,2.3926282,-0.0030063307,0.069776796,0.1934188,0.3221912980079651,29,7424,344.7881152778864,950272
111.62,1.94,2750,0.004718217,0.042236328,2.3504705,-0.0051621147,0.06741936,0.19217233,0.336742103099823,30,7680,356.70141948759556,983040
93.41,1.68,2741,0.004377868,0.040547688,2.3448546,-0.0045254626,0.07184025,0.19962852,0.36042147874832153,31,7936,368.70582115650177,1015808
100.26,2.01,2722,0.0048855203,0.04707845,2.363026,-0.0044502835,0.06107576,0.17831258,0.37765657901763916,32,8192,380.7407737374306,1048576
104.11,2.16,2751,0.0038866578,0.034383137,2.326491,-0.0025394654,0.095656164,0.2429211,0.3435245752334595,33,8448,392.65209390223026,1081344
96.62,2.0,2725,0.005118697,0.055796307,2.3312328,-0.0036697516,0.07184238,0.19764893,0.37252700328826904,34,8704,404.67390586435795,1114112
98.39,2.6,2724,0.0044118315,0.03967285,2.3302264,-0.0046474324,0.07684934,0.20959806,0.32827484607696533,35,8960,416.70185562223196,1146880
96.26,1.76,2714,0.0052927346,0.057576496,2.30258,-0.0053829625,0.066616185,0.19004989,0.37836480140686035,36,9216,428.8120830729604,1179648
94.45,1.54,2756,0.0064228033,0.06514486,2.3342354,-0.0033591902,0.07406061,0.20152432,0.3899849057197571,37,9472,440.69852194190025,1212416
102.21,2.13,2686,0.0054165646,0.059092205,2.3154633,-0.0040700785,0.06910761,0.19266462,0.36418473720550537,38,9728,452.8951469361782,1245184
96.4,2.1,2754,0.005396253,0.06389364,2.2911844,-0.0061302087,0.07560292,0.20928995,0.33056163787841797,39,9984,464.7925897538662,1277952
102.36,2.21,2747,0.004871592,0.05122884,2.2961018,-0.004971375,0.07962156,0.2151079,0.36875230073928833,40,10240,476.71855387836695,1310720
101.37,2.19,2749,0.004644657,0.04695638,2.3053086,-0.0052833483,0.07284517,0.2023632,0.3846769332885742,41,10496,488.6784934848547,1343488
96.67,2.19,3224,0.0057772384,0.06451416,2.279526,-0.004801043,0.08483777,0.22486813,0.39537811279296875,42,10752,498.8427954688668,1376256
97.47,2.19,2771,0.0051567582,0.05505371,2.3083642,-0.0041797208,0.0935735,0.2416737,0.38223177194595337,43,11008,510.6680912002921,1409024
106.86,2.89,2743,0.00510679,0.049916584,2.2733045,-0.004717481,0.09742225,0.24974553,0.41223329305648804,44,11264,522.6142998635769,1441792
99.6,2.21,2706,0.005441299,0.058705647,2.24456,-0.005709534,0.103455506,0.2632213,0.40672624111175537,45,11520,534.7235708385706,1474560
110.73,2.32,2764,0.0056102215,0.062266033,2.2658012,-0.0058999783,0.077284686,0.21168536,0.4467206597328186,46,11776,546.616727001965,1507328
97.18,2.37,2760,0.005088354,0.055287678,2.2614558,-0.005882738,0.09689725,0.25078908,0.4196990132331848,47,12032,558.4857337772846,1540096
107.34,2.79,2730,0.0052774246,0.055714924,2.2781022,-0.0069582686,0.087192774,0.23386413,0.39130520820617676,48,12288,570.4871660917997,1572864
108.48,2.71,3119,0.0060311356,0.070373535,2.2601235,-0.004788647,0.08970373,0.2341872,0.44700074195861816,49,12544,580.9908269792795,1605632
99.53,2.26,2729,0.0048345267,0.04844157,2.2763352,-0.0056971125,0.10105602,0.25903296,0.4320194721221924,50,12800,592.99779381603,1638400
100.25,2.5,2740,0.0049134684,0.050038654,2.2593,-0.0059951525,0.090736546,0.23864937,0.43196386098861694,51,13056,604.9990895539522,1671168
110.2,3.26,2714,0.004123548,0.036824543,2.2791793,-0.004774614,0.10664961,0.26843205,0.42897844314575195,52,13312,617.0734787657857,1703936
131.23,3.65,2753,0.0051711462,0.05423991,2.2604096,-0.0061083795,0.091791965,0.24100894,0.4174965023994446,53,13568,628.976806268096,1736704
109.89,2.98,2767,0.0057757343,0.065450035,2.251539,-0.006655975,0.093544394,0.24543148,0.430192232131958,54,13824,640.8166220858693,1769472
112.33,2.99,2770,0.006789317,0.08445231,2.2124226,-0.0064927996,0.08441592,0.22606589,0.4770275950431824,55,14080,652.6434009969234,1802240
111.75,3.11,2727,0.0064065084,0.07858276,2.218573,-0.0062211845,0.092496626,0.24180704,0.49216723442077637,56,14336,664.7055538594723,1835008
113.49,3.2,2744,0.0057997056,0.063964844,2.2044632,-0.0028430503,0.12463402,0.29904342,0.4502692222595215,57,14592,676.644393004477,1867776
105.59,2.71,2745,0.006753067,0.08331299,2.1899805,-0.0069460887,0.102773644,0.2632391,0.45555728673934937,58,14848,688.5787949338555,1900544
107.5,2.9,2751,0.006389946,0.07574463,2.201188,-0.005481949,0.11294287,0.2808734,0.4783814549446106,59,15104,700.4871521666646,1933312
114.05,3.21,2708,0.005402313,0.06031291,2.182925,-0.0065655834,0.11301578,0.28282127,0.441617488861084,60,15360,712.588198132813,1966080
121.06,3.67,2751,0.0057358793,0.06766764,2.1733687,-0.006981734,0.10420918,0.26584914,0.4732152819633484,61,15616,724.551205791533,1998848
115.01,2.95,2736,0.006478779,0.078125,2.170716,-0.0072464515,0.104827166,0.26756155,0.4624781012535095,62,15872,736.5249285772443,2031616
114.98,3.76,2730,0.00643393,0.076293945,2.154979,-0.006983327,0.10971562,0.2764975,0.47311675548553467,63,16128,748.5252825766802,2064384
114.57,2.51,2756,0.006562751,0.07877604,2.15985,-0.005745761,0.09248162,0.23965178,0.49852854013442993,64,16384,760.4130159169436,2097152
109.16,3.19,2755,0.006465953,0.077433266,2.1542103,-0.008346326,0.0987026,0.2571821,0.47519201040267944,65,16640,772.3051369041204,2129920
120.58,4.07,2737,0.0055005564,0.06173706,2.109026,-0.007013636,0.11320645,0.28262067,0.4510464072227478,66,16896,784.3162558823824,2162688
111.4,3.99,2757,0.007458214,0.095469154,2.1174967,-0.008654793,0.09925547,0.25817046,0.48024940490722656,67,17152,796.2015279009938,2195456
109.37,3.09,2731,0.007100507,0.08968099,2.1333296,-0.007233417,0.08727455,0.2316825,0.5159818828105927,68,17408,808.2002534791827,2228224
120.43,3.76,2740,0.007296212,0.091430664,2.118748,-0.009153326,0.090982795,0.24264719,0.48219960927963257,69,17664,820.156221717596,2260992
102.91,2.85,2699,0.006365973,0.07444254,2.0887845,-0.0061946977,0.10891419,0.27199343,0.5039660632610321,70,17920,832.2934429422021,2293760
124.38,3.78,2737,0.007958761,0.101491295,2.0916386,-0.0070379623,0.09788138,0.25167146,0.560774564743042,71,18176,844.3093173727393,2326528
111.84,3.28,3167,0.006643139,0.080200195,2.0751078,-0.0066296137,0.10681829,0.268398,0.5125008523464203,72,18432,854.6540092602372,2359296
119.39,3.56,2710,0.0075151008,0.09236654,2.0788002,-0.0075036194,0.100806065,0.25819537,0.5301697254180908,73,18688,866.7437497451901,2392064
127.94,4.19,2741,0.007507894,0.09349569,2.085571,-0.006716599,0.10857128,0.27228722,0.5381857752799988,74,18944,878.6960271149874,2424832
105.76,2.98,2759,0.0069699096,0.083862305,2.08048,-0.00870074,0.112674884,0.28436083,0.513327419757843,75,19200,890.5736082792282,2457600
119.43,3.96,2707,0.008391898,0.10708618,2.0920115,-0.006562174,0.11981582,0.29459623,0.5181627571582794,76,19456,902.7239702269435,2490368
125.61,4.04,2694,0.006744268,0.082082115,2.0603323,-0.009063068,0.111652724,0.2826382,0.5451231002807617,77,19712,914.8861983716488,2523136
125.57,3.93,2721,0.0075100143,0.0921224,2.056225,-0.007515335,0.11603189,0.28821898,0.5486096441745758,78,19968,926.9264170080423,2555904
116.08,3.41,2721,0.007548431,0.09616089,2.0434654,-0.009259942,0.118504286,0.29639772,0.5420093834400177,79,20224,938.9681675508618,2588672
110.76,3.46,2738,0.0061082295,0.07356771,2.052874,-0.005728973,0.11618682,0.28488907,0.5535157024860382,80,20480,950.9364411607385,2621440
123.96,3.96,2735,0.0064910227,0.08067831,2.0534954,-0.007679183,0.10711419,0.27065668,0.5416115820407867,81,20736,962.9601418375969,2654208
117.44,3.6,2726,0.007782915,0.09995524,2.0552146,-0.009744049,0.09845943,0.2575113,0.5897287428379059,82,20992,974.9790706634521,2686976
111.72,3.77,2739,0.008190352,0.10509237,2.054693,-0.00726613,0.10489118,0.2654085,0.570316880941391,83,21248,986.9406239017844,2719744
121.06,3.87,2723,0.008863961,0.112843834,2.0436616,-0.004828278,0.0981869,0.2469036,0.5710835456848145,84,21504,998.9747885838151,2752512
117.98,3.99,2757,0.0072432156,0.089131676,2.0272253,-0.0060272436,0.11080203,0.27420297,0.5564676821231842,85,21760,1010.8585825562477,2785280
122.45,3.65,2688,0.0077077295,0.10071818,2.053343,-0.010251301,0.086545,0.2346595,0.5694104731082916,86,22016,1023.0912549346685,2818048
123.08,3.42,2736,0.007231459,0.09239706,2.023658,-0.010520193,0.08573007,0.23297371,0.5837084949016571,87,22272,1035.0664237216115,2850816
108.02,3.49,2741,0.007641788,0.09879557,2.0123675,-0.009835993,0.09302142,0.24596216,0.5541053414344788,88,22528,1047.0216182023287,2883584
120.6,3.74,2721,0.008159919,0.10669962,2.0421166,-0.008302926,0.09766355,0.25277528,0.561418354511261,89,22784,1059.0619580894709,2916352
118.63,3.69,2772,0.007639007,0.09717814,2.0448325,-0.009777791,0.086108536,0.2326693,0.5693871974945068,90,23040,1070.8813999071717,2949120
132.49,4.16,2726,0.0095356945,0.12764485,2.0425956,-0.0077562053,0.0846447,0.22565371,0.5709474980831146,91,23296,1082.95081897825,2981888
115.8,3.54,2730,0.008637077,0.114115395,2.048884,-0.009134313,0.09146517,0.2421766,0.535129964351654,92,23552,1094.9538398087025,3014656
125.5,4.28,2768,0.008456812,0.108540855,2.0217755,-0.010182413,0.09189179,0.2445839,0.5577903985977173,93,23808,1106.792606011033,3047424
116.17,3.99,2757,0.008645583,0.11295573,2.0408065,-0.010786907,0.09444847,0.25128686,0.5630035400390625,94,24064,1118.6777336001396,3080192
113.84,3.76,2722,0.007505419,0.09408569,2.0379045,-0.008502982,0.09543267,0.24862938,0.5630870759487152,95,24320,1130.7133978456259,3112960
124.28,3.56,2718,0.0071769455,0.09062704,2.0746875,-0.009223045,0.087741196,0.23542225,0.5685698688030243,96,24576,1142.8075613602996,3145728
113.78,3.53,2710,0.007898358,0.10252889,2.0668895,-0.008900455,0.09246873,0.24407618,0.5595917701721191,97,24832,1154.8955619484186,3178496
125.09,4.14,2727,0.0070813596,0.08832804,2.0575352,-0.008819735,0.09077948,0.24034913,0.5443538129329681,98,25088,1166.9113351404667,3211264
121.62,3.62,2735,0.008534057,0.11101278,2.0688512,-0.0077699185,0.09056276,0.23804241,0.5315425992012024,99,25344,1178.8917071074247,3244032
116.88,3.53,2761,0.0075415648,0.096700035,2.0312881,-0.011105679,0.087705255,0.23824763,0.5317371487617493,100,25600,1190.759554542601,3276800
117.68,3.85,2722,0.0073897927,0.0949707,2.026398,-0.010197391,0.0873526,0.23562796,0.5176283717155457,101,25856,1202.8458090946078,3309568
110.84,3.33,2712,0.008020845,0.10429891,2.0301788,-0.011407317,0.08304559,0.22950937,0.5275947749614716,102,26112,1214.9254790619016,3342336
117.73,3.95,2741,0.0074031483,0.09730021,2.0024905,-0.012578919,0.08017094,0.22554952,0.5063646733760834,103,26368,1226.8772765249014,3375104
128.5,4.49,2715,0.007944693,0.10244751,1.9755267,-0.010125181,0.08487531,0.2295115,0.5554388165473938,104,26624,1238.9470783546567,3407872
134.26,4.61,2742,0.009357826,0.12501018,1.989082,-0.010198693,0.07856587,0.21731073,0.5598613917827606,105,26880,1250.8976188600063,3440640
117.23,3.39,2712,0.008510972,0.11304728,1.9763632,-0.009667044,0.096930206,0.25272173,0.5282091498374939,106,27136,1263.0227467790246,3473408
120.69,4.18,2746,0.008568688,0.11465454,2.0101411,-0.011178191,0.09021088,0.24298094,0.5068697035312653,107,27392,1274.9557128325105,3506176
118.23,3.5,2724,0.0078344615,0.10103353,2.0066118,-0.011097737,0.08127273,0.22487319,0.5680198669433594,108,27648,1286.9826382026076,3538944
